location,Code,Year,age-standardized-death-rate-cardiovascular-disease
North Korea,PRK,2019,352.910429854978
Congo,COG,2019,355.628464422764
Latvia,LVA,2019,356.837590811069
Pakistan,PAK,2019,357.883702696267
North Africa and Middle East,,2019,358.866187591889
Palau,PLW,2019,360.869653441409
Timor,TLS,2019,368.679657065865
Niue,NIU,2019,369.22053476553
Guinea-Bissau,GNB,2019,370.632550167796
Papua New Guinea,PNG,2019,373.29431623727
Middle East & North Africa - WB,,2019,375.232230664795
Laos,LAO,2019,379.133046314126
Romania,ROU,2019,379.626398292544
Palestine,PSE,2019,381.697771544202
Indonesia,IDN,2019,383.261153581438
Eastern Mediterranean Region,,2019,393.857029434202
Algeria,DZA,2019,396.965217060149
Lesotho,LSO,2019,399.860049879056
Oceania,,2019,401.282662624486
Madagascar,MDG,2019,401.672276479685
Moldova,MDA,2019,404.955078971284
Samoa,WSM,2019,406.178623027693
Central African Republic,CAF,2019,417.122522576989
"Central Europe, Eastern Europe, and Central Asia",,2019,420.936154715863
Fiji,FJI,2019,429.341186491596
Russia,RUS,2019,432.918638340804
Montenegro,MNE,2019,435.515495480757
Iraq,IRQ,2019,436.190809726068
Guyana,GUY,2019,447.571674500927
Serbia,SRB,2019,448.836359404403
Haiti,HTI,2019,449.113766236743
Georgia,GEO,2019,453.999352479455
Morocco,MAR,2019,459.501113580782
Belarus,BLR,2019,463.107779881347
Eastern Europe,,2019,464.703543668932
Kyrgyzstan,KGZ,2019,466.312996525925
Sudan,SDN,2019,466.997231981262
Tuvalu,TUV,2019,471.205555937931
Kazakhstan,KAZ,2019,476.01008091005
Oman,OMN,2019,486.298045718088
Syria,SYR,2019,491.127714417073
Yemen,YEM,2019,513.091043457543
Egypt,EGY,2019,518.192949549258
Bulgaria,BGR,2019,541.08269888359
Marshall Islands,MHL,2019,543.24794464881
Kiribati,KIR,2019,554.548810066285
Turkmenistan,TKM,2019,554.828637794902
Micronesia (country),FSM,2019,560.229289782974
Vanuatu,VUT,2019,567.979721712231
North Macedonia,MKD,2019,568.703680668081
Mongolia,MNG,2019,570.020932668653
Central Asia,,2019,575.225958875415
Afghanistan,AFG,2019,583.214518177154
Ukraine,UKR,2019,591.006239492097
Nauru,NRU,2019,637.731208177076
Azerbaijan,AZE,2019,688.07821900264
Tajikistan,TJK,2019,689.881258840746
Solomon Islands,SLB,2019,817.660139788042
Uzbekistan,UZB,2019,945.973049784742
