,location,max(norm_mental_health_and_substance_use_deaths),max(norm_prob_of_dying_30_70_from_any_of_cardiovascular_cancer_diabetes_chronic_respiratory),max(norm_hypertension_prevalence_men),max(norm_hypertension_prevalence_women),max(norm_hypertension_prevalence),max(norm_dementia_death_rate_per_100k),max(norm_stroke_deaths_per_100k),max(norm_diabetes_prevalence_per_100_ages_20to79),max(norm_median_age),max(norm_pop_over_65_per_100_2019),max(norm_prevalence_of_obesity_both_sexes),max(norm_prevalence_of_overweight_adults_both_sexes),sum(norm_total_vaccinations_per_hundred),sum(norm_daily_cases_per_100k_biweekly_avg),sum(daily_deaths_per_100k_biweekly_avg)
33,New Zealand,0.143881605571338,0.15747792383808787,0.6666666666666666,0.6106719367588932,0.6650197628458497,0.27657664918216035,0.04025334857175079,0.2912621359223301,0.5071771284997963,0.5711709173650347,0.8307210031347961,0.946078431372549,96.09393776157128,10.750626016013774,1.0143768409964302
34,North Macedonia,0.04054433233112254,0.8024104725884726,0.0,0.0,0.0,0.1325956140198354,1.0,0.5922330097087378,0.5645931995604594,0.5030139839973756,0.5673981191222569,0.7720588235294117,59.57931048771392,26.91652259698747,392.01908382730414
35,Norway,0.23551282556542383,0.07251784141416615,0.6996336996336997,0.6521739130434783,0.7035573122529645,0.4032919592381703,0.027497262680943258,0.20388349514563103,0.5933014743252177,0.6168357804830256,0.5893416927899686,0.7916666666666667,180.4631417561016,30.352752763971996,32.70699231767939
36,Poland,0.1818778938729143,0.5148033863397351,0.7490842490842491,0.691699604743083,0.75,0.40782369227571275,0.15563059156668071,0.28155339805825236,0.693779837915805,0.6469846929137439,0.5893416927899686,0.8088235294117646,112.28833961795051,27.126480041434267,278.7605970239513
37,Portugal,0.0,0.20364552921585283,0.706959706959707,0.7055335968379447,0.7341897233201582,0.32393016756426996,0.13582456230282608,0.6407766990291263,0.9043062292529924,0.7983948066734988,0.5172413793103448,0.8063725490196078,196.56721087307835,43.67920122653533,198.95621048383515
38,Romania,0.039364020545777124,0.7216452906531878,0.7161172161172161,0.9229249011857708,0.8478260869565218,0.4186107526065686,0.43533181148118505,0.3592233009708738,0.7511961482108949,0.6710246668853279,0.5705329153605015,0.784313725490196,84.06843326565284,25.4735176271384,330.4940212437855
39,Russia,0.06403765983728547,0.9295372873966512,0.7197802197802197,0.8320158102766798,0.8043478260869565,0.41552882723287077,0.46892271147259745,0.28155339805825236,0.5885166422472112,0.0,0.5893416927899686,0.7769607843137255,67.25222724070774,20.524887855668663,217.36894892144568
40,Serbia,0.0276683661394612,0.7710410447586271,0.7967032967032966,0.8221343873517787,0.8409090909090908,0.7407009142477833,0.6072437886474017,0.5631067961165048,0.6650718023854735,0.6692547117519666,0.5391849529780564,0.7671568627450981,112.56501471014792,40.01182896325661,191.29088190974838
41,Slovakia,0.05276899496407703,0.4378289026482019,0.7234432234432234,0.66600790513834,0.7233201581027668,0.3820825778681199,0.17071635670726776,0.3203883495145631,0.6650718023854735,0.577542155278235,0.5078369905956113,0.7426470588235294,116.36128952057348,52.861008539365095,364.03041141290487
42,Slovenia,0.044421159235032856,0.21398393921131595,0.7783882783882784,0.7351778656126483,0.7875494071146245,0.19918172264167217,0.07172066595656582,0.2621359223300971,0.8229664762711506,0.7208859540427235,0.4984326018808777,0.7671568627450981,117.515766792359,50.20721238585535,287.6800530215632
43,South Africa,0.043963618914484956,0.8946422888264646,0.8608058608058607,0.9071146245059288,0.9179841897233202,0.3975937920480683,0.23371857325669784,0.9223300970873786,0.0,0.19338783222845465,0.7523510971786833,0.551470588235294,27.278788381054987,18.4932110334635,155.16234908075245
44,South Korea,0.5253343147635101,0.0,0.0,0.0,0.0,0.6072145441681912,0.08932416725823412,0.3592233009708738,0.7703349980540672,0.0,0.012539184952978066,0.06617647058823535,116.91488832718683,12.274496309889983,12.598281352175695
45,Spain,0.09929017870428664,0.12351555944247176,0.8058608058608059,0.733201581027668,0.8013833992094861,0.3955252652986383,0.02992169662487737,0.3592233009708738,0.8708133616446544,0.7016566092321788,0.6112852664576802,0.9264705882352942,238.2872622550035,46.0058129172254,210.70378433296315
46,Sweden,0.15569056696593048,0.05690813410138703,0.7655677655677655,0.7312252964426877,0.7786561264822134,0.32963286699922995,0.03998020385795292,0.15533980582524268,0.6555023774638873,0.7213246938884402,0.5109717868338558,0.747549019607843,188.60286744292048,38.114364347446056,159.4111723195333
47,Switzerland,0.8849728106265549,0.03163950368548066,0.706959706959707,0.6264822134387351,0.6946640316205533,0.3068653037105003,0.0,0.24271844660194172,0.7559807410544745,0.67273633692933,0.4764890282131661,0.6985294117647058,130.0892968134919,39.08009400669077,143.9603669379744
48,Turkey,0.019634044399296797,0.44857047313018694,0.7014652014652014,0.6936758893280632,0.7252964426877471,0.17126264270472843,0.1542148497545989,0.7669902912621358,0.20574165495295177,0.3116301860488295,0.8714733542319749,0.9191176470588236,122.75276592218124,26.317495354181123,100.35467008358849
49,Ukraine,0.04162916741056245,1.0,0.8736263736263736,1.0,0.9713438735177866,0.6552136718567203,0.40126708781688597,0.28155339805825236,0.6746412273070597,0.5965631380765993,0.6206896551724138,0.7965686274509803,33.25649525545933,22.992499274429367,242.22037672779481
50,United Kingdom,0.344165076442529,0.15823892832233669,0.5805860805860805,0.5909090909090908,0.608695652173913,0.4744369530392415,0.05049939404213312,0.06796116504854366,0.6459329525423012,0.6609764683796117,0.7366771159874608,0.9264705882352942,172.14556830895452,41.86159156617545,224.4590959068748
51,United States,0.21447148152001302,0.32931935154708925,0.5695970695970696,0.6284584980237155,0.6215415019762847,0.4651791921347308,0.03569705311163002,0.7378640776699029,0.5263157391085417,0.5788721383222265,1.0,1.0,151.29337421787594,38.78988627271885,258.6190881135735
